left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
350,889,307,884,318,1145,270,1150,451,1273,398,1315,307,1449,254,1481,1
339,838,299,838,311,1107,265,1113,413,1261,356,1296,311,1433,248,1490,1
332,801,289,789,301,1076,258,1083,374,1260,313,1272,301,1431,246,1492,1
335,769,278,757,297,1053,259,1047,328,1255,278,1267,303,1431,246,1482,0
326,763,264,757,308,1042,252,1042,308,1253,246,1266,308,1440,246,1483,0
315,765,259,758,302,1050,253,1044,296,1255,234,1261,302,1423,240,1473,0
314,766,255,760,285,1038,255,1032,285,1256,231,1268,302,1434,243,1481,0
330,768,238,756,263,1043,251,1043,281,1244,238,1251,306,1428,245,1483,0
334,767,245,755,304,1021,257,1015,281,1251,239,1262,298,1416,239,1475,0
337,758,243,758,300,1047,256,1028,287,1254,237,1261,300,1424,237,1480,0
339,765,271,759,271,1031,258,1031,302,1253,271,1259,302,1420,246,1488,0
340,778,281,778,281,1040,251,1058,334,1255,299,1261,305,1434,245,1488,0
338,813,286,813,292,1089,263,1089,373,1274,321,1285,309,1424,246,1493,1
344,856,294,856,305,1120,271,1131,412,1283,361,1305,311,1423,243,1496,1
358,910,302,905,337,1160,276,1175,460,1283,414,1323,276,1451,256,1482,1
347,947,309,952,333,1196,275,1211,481,1287,448,1335,285,1445,270,1460,1
362,992,323,997,323,1223,275,1241,488,1297,458,1341,301,1445,275,1458,1
361,1008,336,1029,327,1247,277,1268,491,1301,461,1347,311,1443,269,1464,1
355,1011,343,1039,319,1243,271,1275,487,1299,467,1351,311,1439,267,1463,1
341,996,341,1026,311,1236,260,1266,483,1296,453,1339,307,1450,264,1467,1
339,955,335,985,305,1208,271,1225,472,1289,438,1332,275,1456,271,1465,1
358,925,323,930,309,1166,259,1181,456,1275,417,1314,279,1442,254,1477,1
356,873,308,867,308,1133,271,1138,431,1266,372,1303,319,1426,244,1495,1
351,829,298,817,292,1094,257,1094,381,1264,333,1282,310,1434,245,1493,1
332,781,289,781,295,1053,245,1059,344,1256,295,1269,307,1441,245,1491,1
333,769,269,762,294,1048,250,1048,313,1251,256,1263,301,1409,244,1485,0
323,772,255,759,305,1044,249,1038,298,1255,249,1267,305,1434,243,1484,0
315,767,248,755,291,1031,248,1018,291,1251,242,1263,303,1429,242,1484,0
312,760,246,766,298,1062,246,1062,279,1260,226,1273,298,1437,246,1490,0
308,767,247,761,296,1046,247,1046,284,1256,228,1262,296,1417,247,1485,0
308,766,242,760,296,1036,260,1030,296,1246,236,1264,296,1420,242,1480,0
312,765,243,759,299,1047,249,1041,299,1254,249,1260,299,1417,243,1486,0
310,767,255,761,286,1048,255,1042,304,1256,268,1256,304,1433,243,1482,0
328,781,273,775,291,1059,255,1053,328,1264,285,1270,297,1439,243,1487,0
335,805,281,805,293,1076,245,1082,365,1250,317,1274,299,1436,245,1490,1
346,853,295,853,295,1112,245,1117,391,1269,340,1303,307,1433,250,1489,1
348,905,300,905,311,1155,258,1160,433,1283,391,1320,263,1474,252,1485,1
337,942,302,947,322,1191,263,1211,469,1284,425,1333,278,1446,258,1475,1
344,982,304,987,318,1220,277,1237,479,1296,447,1345,291,1435,264,1466,1
337,996,303,1004,325,1242,281,1268,489,1302,463,1350,299,1432,273,1462,1
339,999,307,1013,325,1243,280,1266,493,1302,461,1356,298,1456,271,1460,1
332,983,309,987,318,1224,271,1252,480,1294,448,1345,285,1457,271,1461,1
333,945,308,950,303,1195,253,1205,452,1280,418,1330,298,1449,263,1469,1
335,892,297,898,281,1153,243,1164,422,1267,373,1310,313,1435,253,1489,1
325,845,284,839,267,1113,232,1113,389,1248,325,1294,307,1434,249,1498,1
318,800,263,794,269,1073,233,1073,342,1249,294,1273,306,1425,239,1486,1
311,770,251,764,275,1049,232,1043,299,1256,257,1268,299,1444,239,1481,0
305,757,231,757,268,1042,243,1029,287,1252,243,1264,293,1425,231,1475,0
296,756,233,762,270,1038,239,1026,289,1251,245,1257,296,1433,239,1477,0
292,760,223,754,267,1044,242,1037,292,1245,242,1258,292,1415,236,1478,0
294,763,219,751,269,1045,250,1038,288,1251,232,1263,294,1413,232,1482,0
290,761,231,761,277,1030,244,1030,290,1260,251,1267,297,1425,237,1484,0
305,770,229,757,274,1030,255,1030,305,1258,255,1265,280,1455,235,1493,0
311,777,243,765,287,1056,237,1056,336,1254,287,1260,293,1446,243,1495,0
321,807,256,801,292,1081,238,1081,357,1266,303,1284,303,1427,250,1492,1
324,838,271,838,283,1106,247,1106,390,1266,342,1290,301,1439,247,1492,1
329,881,279,881,290,1139,263,1150,428,1271,367,1320,285,1430,246,1491,1
340,916,288,921,314,1167,268,1188,453,1280,411,1332,268,1460,252,1481,1
334,949,300,954,329,1196,271,1215,479,1292,435,1346,285,1428,261,1467,1
326,964,303,977,330,1213,272,1235,486,1293,450,1351,290,1431,268,1462,1
317,977,308,986,313,1225,271,1253,483,1294,451,1350,285,1460,271,1469,1
320,959,311,978,306,1212,263,1231,469,1289,435,1332,277,1461,263,1471,1
334,940,302,935,291,1180,248,1196,446,1271,398,1325,291,1442,253,1480,1
332,892,293,886,271,1140,238,1146,415,1262,349,1311,315,1444,249,1505,1
338,844,275,833,275,1096,224,1096,378,1238,298,1267,298,1444,241,1501,1
330,804,252,792,270,1059,223,1053,336,1220,241,1261,306,1416,229,1463,1
323,783,219,765,268,1040,213,1034,304,1236,206,1242,304,1425,176,1443,1
299,770,194,764,269,1067,200,1067,287,1253,176,1266,299,1427,138,1421,2
271,776,152,763,264,1074,198,1074,271,1247,251,1260,291,1419,105,1445,1
252,782,123,761,252,1061,164,1061,266,1252,130,1279,300,1429,116,1449,2
244,774,97,766,16,1414,31,1384,295,1252,23,1627,295,1428,295,1465,3
230,773,90,766,257,1067,157,1080,304,1234,97,1260,297,1421,50,1447,2
